,home_team,away_team,home_score,away_score,home_manager,away_manager,Attendance,Venue,Round,Date,Score,Referee,Host,Year,home_goal,away_goal,home_penalty_goal,away_penalty_goal
0,Spain,England,1,0,Jorge Vilda,Sarina Wiegman,75784,"Accor Stadium, Sydney",Final,2023-08-20,1–0,Tori Penso,"Australia, New Zealand",2023,Olga Carmona · 29’,,,
1,Sweden,Australia,2,0,Peter Gerhardsson,Tony Gustavsson,49461,"Suncorp Stadium, Brisbane",Third-place match,2023-08-19,2–0,,"Australia, New Zealand",2023,Kosovare Asllani · 62’,,Fridolina Rolfö (P) · 30’,
2,Australia,England,1,3,Tony Gustavsson,Sarina Wiegman,75784,"Accor Stadium, Sydney",Semi-finals,2023-08-16,1–3,Tori Penso,"Australia, New Zealand",2023,Sam Kerr · 63’,Ella Toone · 36’|Lauren Hemp · 71’|Alessia Russo · 86’,,
3,Spain,Sweden,2,1,Jorge Vilda,Peter Gerhardsson,43217,"Eden Park, Auckland",Semi-finals,2023-08-15,2–1,Edina Alves Batista,"Australia, New Zealand",2023,Salma Paralluelo · 81’|Olga Carmona · 89’,Rebecka Blomqvist · 88’,,
4,Australia,France,0,0,Tony Gustavsson,Hervé Renard,49461,"Suncorp Stadium, Brisbane",Quarter-finals,2023-08-12,(7) 0–0 (6),María Carvajal,"Australia, New Zealand",2023,,,,
5,England,Colombia,2,1,Sarina Wiegman,Nelson Abadía,75784,"Accor Stadium, Sydney",Quarter-finals,2023-08-12,2–1,Katja Koroleva,"Australia, New Zealand",2023,Lauren Hemp · 45+6’|Alessia Russo · 63’,Leicy Santos · 44’,,
6,Spain,Netherlands,2,1,Jorge Vilda,Andries Jonker,32021,"Sky Stadium, Wellington",Quarter-finals,2023-08-11,2–1,Stéphanie Frappart,"Australia, New Zealand",2023,Salma Paralluelo · 111’,Stefanie van der Gragt · 90+1’,Mariona Caldentey (P) · 81’,
7,Japan,Sweden,1,2,Futoshi Ikeda,Peter Gerhardsson,43217,"Eden Park, Auckland",Quarter-finals,2023-08-11,1–2,Esther Staubli,"Australia, New Zealand",2023,Honoka Hayashi · 87’,Amanda Ilestedt · 32’,,Filippa Angeldahl (P) · 51’
8,Colombia,Jamaica,1,0,Nelson Abadía,Lorne Donaldson,27706,"AAMI Park, Melbourne",Round of 16,2023-08-08,1–0,Kate Jacewicz,"Australia, New Zealand",2023,Catalina Usme · 51’,,,
9,France,Morocco,4,0,Hervé Renard,Reynald Pedros,13557,"Coopers Stadium, Adelaide",Round of 16,2023-08-08,4–0,Tori Penso,"Australia, New Zealand",2023,Kadidiatou Diani · 15’|Kenza Dali · 20’|Eugénie Le Sommer · 23’|Eugénie Le Sommer · 70’,,,
