,Rank,Team,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Top Team Scorer,Latitude,Longitude,Region,Year,ISO_Code,Manager,Gender,Nationality,Flag,Team_with_Flag
160,Quarter Final,China,4.0,2.0,1.0,1.0,10.0,4.0,6.0,5.0,,,,,Liu Ailing - 4,35.8617,104.1954,AFC (Asia),1991,CHN,Shang Ruihua,Male,Chinese,🇨🇳,China 🇨🇳
161,Quarter Final,Italy,4.0,2.0,0.0,2.0,8.0,5.0,3.0,4.0,,,,,Carolina Morace - 4,41.8719,12.5674,UEFA (Europe),1991,ITA,Sergio Guenza,Male,Italian,🇮🇹,Italy 🇮🇹
162,Quarter Final,Denmark,4.0,1.0,1.0,2.0,7.0,6.0,1.0,3.0,,,,,"Susan Mackensie, Helle Jensen - 2",56.2639,9.5018,UEFA (Europe),1991,DNK,Keld Gantzhorn,Male,Danish,🇩🇰,Denmark 🇩🇰
163,Quarter Final,Taiwan,4.0,1.0,0.0,3.0,2.0,15.0,-13.0,2.0,,,,,"Chou Tai-ying, Lin Mei-chun - 1",23.6978,120.9605,AFC (Asia),1991,TWN,Chong Tsu-Pin,Male,Taiwanese,🇹🇼,Taiwan 🇹🇼
164,Group Stage,Brazil,3.0,1.0,0.0,2.0,1.0,7.0,-6.0,2.0,,,,,Elane Rego dos Santos - 1,-14.235,-51.9253,CONMEBOL (South America),1991,BRA,Fernando Pires,Male,Brazilian,🇧🇷,Brazil 🇧🇷
165,Group Stage,Nigeria,3.0,0.0,0.0,3.0,0.0,7.0,-7.0,0.0,,,,,,9.082,8.6753,CAF (Africa),1991,NGA,Jo Bonfrère,Male,Dutch,🇳🇬,Nigeria 🇳🇬
166,Group Stage,New Zealand,3.0,0.0,0.0,3.0,1.0,11.0,-10.0,0.0,,,,,Kim Nye - 1,-40.9006,174.886,OFC (Oceania),1991,NZL,Dave Boardman,Male,English,🇳🇿,New Zealand 🇳🇿
167,Group Stage,Japan,3.0,0.0,0.0,3.0,0.0,12.0,-12.0,0.0,,,,,,36.2048,138.2529,AFC (Asia),1991,JPN,Tamotsu Suzuki,Male,Japanese,🇯🇵,Japan 🇯🇵
156,1,USA,6.0,6.0,0.0,0.0,25.0,5.0,20.0,12.0,,,,,Michelle Akers - 10,37.0902,-95.7129,CONCACAF (North and Central America),1991,USA,Anson Dorrance,Male,USA,🇺🇸,USA 🇺🇸
157,2,Norway,6.0,4.0,0.0,2.0,14.0,10.0,4.0,8.0,,,,,Linda Medalen - 6,60.472,8.4689,UEFA (Europe),1991,NOR,Even Pellerud,Male,Norwegian,🇳🇴,Norway 🇳🇴
158,3,Sweden,6.0,4.0,0.0,2.0,18.0,7.0,11.0,8.0,,,,,Lena Videkull - 5,60.1282,18.6435,UEFA (Europe),1991,SWE,Gunilla Paijkull,Female,Swedish,🇸🇪,Sweden 🇸🇪
159,4,Germany,6.0,4.0,0.0,2.0,13.0,10.0,3.0,8.0,,,,,Heidi Mohr - 7,51.1657,10.4515,UEFA (Europe),1991,DEU,Gero Bisanz,Male,German,🇩🇪,Germany 🇩🇪
155,Group Stage,Australia,3.0,0.0,0.0,3.0,3.0,13.0,-10.0,0.0,,,,,"Sunni Hughes, Angela Iannotta... - 1",-25.2744,133.7751,OFC (Oceania),1995,AUS,Tom Sermanni,Male,Scotland,🇦🇺,Australia 🇦🇺
154,Group Stage,Nigeria,3.0,0.0,2.0,2.0,5.0,14.0,-9.0,2.0,,,,,"Rita Nwadike, Adaku Okoroafor - 2",9.082,8.6753,CAF (Africa),1995,NGA,Paul Hamilton,Male,Nigerian,🇳🇬,Nigeria 🇳🇬
153,Group Stage,Canada,3.0,0.0,2.0,2.0,5.0,13.0,-8.0,2.0,,,,,"Geri Donnelly, Silvana Burtini - 2",56.1304,-106.3468,CONCACAF (North and Central America),1995,CAN,Sylvie Béliveau,Female,Canadian,🇨🇦,Canada 🇨🇦
152,Group Stage,Brazil,3.0,1.0,0.0,2.0,3.0,8.0,-5.0,3.0,,,,,Roseli de Belo - 2,-14.235,-51.9253,CONMEBOL (South America),1995,BRA,Ademar Fonesca,Male,Brazilian,🇧🇷,Brazil 🇧🇷
151,Quarter Final,Japan,4.0,1.0,0.0,3.0,2.0,8.0,-6.0,3.0,,,,,Akemi Noda - 2,36.2048,138.2529,AFC (Asia),1995,JPN,Tamotsu Suzuki,Male,Japanese,🇯🇵,Japan 🇯🇵
